,user_id,ISBN,rating,title,author,Image,publisher,number of ratings
121042,7346,440840953,7,Tuck Everlasting,Natalie Babbitt,http://images.amazon.com/images/P/0440840953.01.LZZZZZZZ.jpg,Dell Publishing Company,28
121139,7346,445406518,9,Crocodile on the Sandbank,Elizabeth Peters,http://images.amazon.com/images/P/0445406518.01.LZZZZZZZ.jpg,Warner Books,34
121221,7346,446365386,8,Gone with the Wind,Margaret Mitchell,http://images.amazon.com/images/P/0446365386.01.LZZZZZZZ.jpg,Warner Books,43
121470,7346,449003787,8,"\O\"" Is for Outlaw""",SUE GRAFTON,http://images.amazon.com/images/P/0449003787.01.LZZZZZZZ.jpg,Ballantine Books,105
121901,7346,449219364,8,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,http://images.amazon.com/images/P/0449219364.01.LZZZZZZZ.jpg,Fawcett Books,82
122010,7346,449219461,7,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,http://images.amazon.com/images/P/0449219461.01.LZZZZZZZ.jpg,Fawcett Books,70
122252,7346,451457811,9,"Storm Front (The Dresden Files, Book 1)",Jim Butcher,http://images.amazon.com/images/P/0451457811.01.LZZZZZZZ.jpg,Roc,20
122289,7346,451519167,10,Pride and Prejudice,Jane Austen,http://images.amazon.com/images/P/0451519167.01.LZZZZZZZ.jpg,Signet Book,64
122387,7346,515087122,8,The Cat Who Ate Danish Modern (Cat Who... (Paperback)),Lilian Jackson Braun,http://images.amazon.com/images/P/0515087122.01.LZZZZZZZ.jpg,Jove Books,47
122434,7346,515090174,8,The Cat Who Could Read Backwards,Lilian Jackson Braun,http://images.amazon.com/images/P/0515090174.01.LZZZZZZZ.jpg,Jove Books,34
122725,7346,553204564,10,All Things Bright and Beautiful,James Herriot,http://images.amazon.com/images/P/0553204564.01.LZZZZZZZ.jpg,Bantam Doubleday Dell,28
122857,7346,553213180,9,Anne's House of Dreams,L.M. MONTGOMERY,http://images.amazon.com/images/P/0553213180.01.LZZZZZZZ.jpg,Bantam Classics,35
122930,7346,553239813,6,Little Drummer Girl,John Lecarre,http://images.amazon.com/images/P/0553239813.01.LZZZZZZZ.jpg,Bantam Doubleday Dell,24
123197,7346,553287532,7,Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,http://images.amazon.com/images/P/0553287532.01.LZZZZZZZ.jpg,Bantam,27
123236,7346,553291955,10,The Thin Woman,Dorothy Cannell,http://images.amazon.com/images/P/0553291955.01.LZZZZZZZ.jpg,Crimeline,20
123387,7346,553575384,10,To Say Nothing of the Dog,Connie Willis,http://images.amazon.com/images/P/0553575384.01.LZZZZZZZ.jpg,Bantam,32
123624,7346,670031054,7,Miss Julia Throws a Wedding,Ann B. Ross,http://images.amazon.com/images/P/0670031054.01.LZZZZZZZ.jpg,Viking Books,23
123855,7346,671497596,10,DAUGHTER OF TIME,Josephine Tey,http://images.amazon.com/images/P/0671497596.01.LZZZZZZZ.jpg,Pocket,30
123987,7346,671701231,7,The Anastasia Syndrome,Mary Higgins Clark,http://images.amazon.com/images/P/0671701231.01.LZZZZZZZ.jpg,Pocket,40
124156,7346,671867172,9,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,http://images.amazon.com/images/P/0671867172.01.LZZZZZZZ.jpg,Pocket,58
124219,7346,679732411,10,Gift from the Sea,Anne Morrow Lindbergh,http://images.amazon.com/images/P/0679732411.01.LZZZZZZZ.jpg,Pantheon Books,21
124574,7346,812510992,6,The Girl Who Heard Dragons,Anne McCaffrey,http://images.amazon.com/images/P/0812510992.01.LZZZZZZZ.jpg,Tor Books,24
125635,7915,395083567,10,My Antonia,Willa Sibert Cather,http://images.amazon.com/images/P/0395083567.01.LZZZZZZZ.jpg,Houghton Mifflin,27
125775,7915,425178951,9,Deep South,Nevada Barr,http://images.amazon.com/images/P/0425178951.01.LZZZZZZZ.jpg,Berkley Publishing Group,24
125862,7915,440159008,9,Motherhood the Second Oldest Profession,Erma Bombeck,http://images.amazon.com/images/P/0440159008.01.LZZZZZZZ.jpg,Bantam Doubleday Dell,20
125882,7915,440215625,10,Dragonfly in Amber,DIANA GABALDON,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg,Dell,71
126119,7915,446387878,7,A Yellow Raft in Blue Water,Michael Dorris,http://images.amazon.com/images/P/0446387878.01.LZZZZZZZ.jpg,Warner Books,31
126251,7915,451410947,7,Must Love Dogs,Claire Cook,http://images.amazon.com/images/P/0451410947.01.LZZZZZZZ.jpg,Onyx Books,24
126295,7915,515133418,5,Summer in Eclipse Bay,Jayne Ann Krentz,http://images.amazon.com/images/P/0515133418.01.LZZZZZZZ.jpg,Jove Books,25
126524,7915,786862564,6,Make the Connection: Ten Steps to a Better Body and a Better Life,Bob Greene,http://images.amazon.com/images/P/0786862564.01.LZZZZZZZ.jpg,Hyperion Press,35
126671,8067,312284683,10,Faking It,Jennifer Crusie,http://images.amazon.com/images/P/0312284683.01.LZZZZZZZ.jpg,St. Martin's Press,97
126789,8067,312966806,7,Tell Me Lies (Tell Me Lies),Jennifer Crusie,http://images.amazon.com/images/P/0312966806.01.LZZZZZZZ.jpg,St. Martin's Press,61
126918,8067,345469674,6,Girls' Poker Night,JILL DAVIS,http://images.amazon.com/images/P/0345469674.01.LZZZZZZZ.jpg,Ballantine Books,27
127150,8067,380782340,9,Nobody's Baby But Mine,Susan Elizabeth Phillips,http://images.amazon.com/images/P/0380782340.01.LZZZZZZZ.jpg,Avon,21
127175,8067,380814390,9,Lola Carlyle Reveals All (Avon Light Contemporary Romances),Rachel Gibson,http://images.amazon.com/images/P/0380814390.01.LZZZZZZZ.jpg,Avon,25
127276,8067,440225078,10,Ghost Moon,Karen Robards,http://images.amazon.com/images/P/0440225078.01.LZZZZZZZ.jpg,Dell Publishing Company,39
127348,8067,446610542,9,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,http://images.amazon.com/images/P/0446610542.01.LZZZZZZZ.jpg,Warner Forever,71
127449,8067,446613053,10,The Crush,Sandra Brown,http://images.amazon.com/images/P/0446613053.01.LZZZZZZZ.jpg,Warner Books,46
127646,8067,451204301,8,Impulse,Catherine Coulter,http://images.amazon.com/images/P/0451204301.01.LZZZZZZZ.jpg,Signet Book,50
127719,8067,452284295,10,Cheet (Plume Books),Anna Davis,http://images.amazon.com/images/P/0452284295.01.LZZZZZZZ.jpg,Plume Books,28
127842,8067,553572040,10,Killer Pancake,Diane Mott Davidson,http://images.amazon.com/images/P/0553572040.01.LZZZZZZZ.jpg,Crimeline,35
127887,8067,553576798,10,The Other Daughter,LISA GARDNER,http://images.amazon.com/images/P/0553576798.01.LZZZZZZZ.jpg,Bantam,34
127921,8067,553578359,10,Chopping Spree,Diane Mott Davidson,http://images.amazon.com/images/P/0553578359.01.LZZZZZZZ.jpg,Bantam Books,32
127974,8067,671020293,10,Butterfly (Orphans),V.C. Andrews,http://images.amazon.com/images/P/0671020293.01.LZZZZZZZ.jpg,Pocket,27
128016,8067,671039938,10,Cinnamon (Shooting Stars),V.C. Andrews,http://images.amazon.com/images/P/0671039938.01.LZZZZZZZ.jpg,Pocket,20
128158,8067,743469801,10,Why Girls Are Weird : A Novel,Pamela Ribon,http://images.amazon.com/images/P/0743469801.01.LZZZZZZZ.jpg,Downtown Press,28
128397,8067,1551669412,10,Hot Shot,Charlotte Hughes,http://images.amazon.com/images/P/1551669412.01.LZZZZZZZ.jpg,Mira,30
128427,8067,1551669498,10,Girls Night,Stef Ann Holm,http://images.amazon.com/images/P/1551669498.01.LZZZZZZZ.jpg,Mira,44
128653,8245,61099732,8,Outer Banks,Anne Rivers Siddons,http://images.amazon.com/images/P/0061099732.01.LZZZZZZZ.jpg,HarperTorch,42
128696,8245,64400026,8,Little House on the Prairie,Laura Ingalls Wilder,http://images.amazon.com/images/P/0064400026.01.LZZZZZZZ.jpg,HarperTrophy,37
128859,8245,312978383,8,Winter Solstice,Rosamunde Pilcher,http://images.amazon.com/images/P/0312978383.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,68
128992,8245,345446860,7,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,http://images.amazon.com/images/P/0345446860.01.LZZZZZZZ.jpg,Ballantine Books,34
129091,8245,380844001,7,A Rose in Winter,Kathleen E. Woodiwiss,http://images.amazon.com/images/P/0380844001.01.LZZZZZZZ.jpg,Avon,27
129507,8245,446606324,9,The Winner,David Baldacci,http://images.amazon.com/images/P/0446606324.01.LZZZZZZZ.jpg,Warner Vision,80
129590,8245,449006344,7,Angel Falls,KRISTIN HANNAH,http://images.amazon.com/images/P/0449006344.01.LZZZZZZZ.jpg,Ballantine Books,41
129656,8245,451409973,8,Julie and Romeo: A Novel,Jeanne Ray,http://images.amazon.com/images/P/0451409973.01.LZZZZZZZ.jpg,Onyx Books,26
129701,8245,051511779X,7,Born in Shame,Nora Roberts,http://images.amazon.com/images/P/051511779X.01.LZZZZZZZ.jpg,Jove Books,43
129795,8245,055358264X,8,Dream Country,Luanne Rice,http://images.amazon.com/images/P/055358264X.01.LZZZZZZZ.jpg,Bantam Books,50
129930,8245,671708635,8,Seven Habits Of Highly Effective People,Stephen R. Covey,http://images.amazon.com/images/P/0671708635.01.LZZZZZZZ.jpg,Free Press,54
130006,8245,688170528,8,The Pact: A Love Story,Jodi Picoult,http://images.amazon.com/images/P/0688170528.01.LZZZZZZZ.jpg,Quill,32
130038,8245,688177743,9,Keeping Faith : A Novel,Jodi Picoult,http://images.amazon.com/images/P/0688177743.01.LZZZZZZZ.jpg,Perennial,28
130187,8245,887307876,9,"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions",Scott Adams,http://images.amazon.com/images/P/0887307876.01.LZZZZZZZ.jpg,HarperBusiness,32
130262,8245,1567403263,9,Cloud Nine,Luanne Rice,http://images.amazon.com/images/P/1567403263.01.LZZZZZZZ.jpg,Paperback Nova Audio,39
130733,8681,385491026,9,Cat's Eye,Margaret Atwood,http://images.amazon.com/images/P/0385491026.01.LZZZZZZZ.jpg,Anchor,42
130775,8681,385491085,7,Lady Oracle,MARGARET ATWOOD,http://images.amazon.com/images/P/0385491085.01.LZZZZZZZ.jpg,Anchor,24
130799,8681,385491107,8,Life Before Man,Margaret Atwood,http://images.amazon.com/images/P/0385491107.01.LZZZZZZZ.jpg,Anchor Books/Doubleday,25
131074,8681,451456521,9,Lady of Avalon,Marion Zimmer Bradley,http://images.amazon.com/images/P/0451456521.01.LZZZZZZZ.jpg,Roc,28
131244,8681,553377922,7,The Edible Woman,Margaret Eleanor Atwood,http://images.amazon.com/images/P/0553377922.01.LZZZZZZZ.jpg,Bantam,36
131707,8681,679451501,9,The Sparrow,Mary Doria Russell,http://images.amazon.com/images/P/0679451501.01.LZZZZZZZ.jpg,Villard Books,35
131835,8681,684803143,7,Messiah,Andrei Codrescu,http://images.amazon.com/images/P/0684803143.01.LZZZZZZZ.jpg,Simon &amp; Schuster Books,29
133646,8936,446604097,9,The Pledge,Helen Mittermeyer,http://images.amazon.com/images/P/0446604097.01.LZZZZZZZ.jpg,Warner Books,20
134077,8936,451188462,9,Desperation,Stephen King,http://images.amazon.com/images/P/0451188462.01.LZZZZZZZ.jpg,Signet Book,59
135351,8936,671038567,7,Body of Evidence,Patricia Cornwell,http://images.amazon.com/images/P/0671038567.01.LZZZZZZZ.jpg,Pocket,29
135438,8936,671778684,7,Dreaming,Jill Barnett,http://images.amazon.com/images/P/0671778684.01.LZZZZZZZ.jpg,Pocket,22
135474,8936,743411986,6,Obsession,Katherine Sutcliffe,http://images.amazon.com/images/P/0743411986.01.LZZZZZZZ.jpg,Pocket,27
135781,8936,1551662779,8,Best Of Enemies,Taylor Smith,http://images.amazon.com/images/P/1551662779.01.LZZZZZZZ.jpg,Mira,24
135983,9856,345353145,6,Sphere,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345353145.01.LZZZZZZZ.jpg,Ballantine Books,117
136802,9856,451159233,7,Mort (Discworld Novels (Paperback)),Terry Pratchett,http://images.amazon.com/images/P/0451159233.01.LZZZZZZZ.jpg,Roc,22
137285,9856,689710887,7,Greenwitch,Susan Cooper,http://images.amazon.com/images/P/0689710887.01.LZZZZZZZ.jpg,Simon Pulse,28
137313,9856,689829833,9,Dark is Rising (Dark is Rising Sequence (Paperback)),Susan Cooper,http://images.amazon.com/images/P/0689829833.01.LZZZZZZZ.jpg,Aladdin,21
137459,9856,886771625,8,Tailchaser's Song,Tad Williams,http://images.amazon.com/images/P/0886771625.01.LZZZZZZZ.jpg,New Amer Library,33
137683,10447,345382323,7,The PMS Outlaws : An Elizabeth MacPherson Novel,Sharyn McCrumb,http://images.amazon.com/images/P/0345382323.01.LZZZZZZZ.jpg,Bantam Books,20
138642,10447,743246071,9,The Queen's Fool : A Novel,Philippa Gregory,http://images.amazon.com/images/P/0743246071.01.LZZZZZZZ.jpg,Touchstone,20
138718,10447,804900078,6,Scarlet Letter,Nathaniel Hawthorne,http://images.amazon.com/images/P/0804900078.01.LZZZZZZZ.jpg,Airmont Pub Co,26
139096,10819,345253736,8,White Dragon,Anne Mccaffrey,http://images.amazon.com/images/P/0345253736.01.LZZZZZZZ.jpg,Ballantine Books,22
139149,10819,345362861,9,Dragonsdawn,Anne McCaffrey,http://images.amazon.com/images/P/0345362861.01.LZZZZZZZ.jpg,Del Rey Books,35
139361,10819,425129586,10,And Then There Were None,Agatha Christie,http://images.amazon.com/images/P/0425129586.01.LZZZZZZZ.jpg,Berkley Publishing Group,38
139522,10819,440174643,10,Roots,ALEX HALEY,http://images.amazon.com/images/P/0440174643.01.LZZZZZZZ.jpg,Dell,37
139994,10819,553262505,7,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,http://images.amazon.com/images/P/0553262505.01.LZZZZZZZ.jpg,Bantam,30
140085,10819,553293354,9,Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,http://images.amazon.com/images/P/0553293354.01.LZZZZZZZ.jpg,Spectra,22
140253,10819,553580906,8,Claws and Effect,RITA MAE BROWN,http://images.amazon.com/images/P/0553580906.01.LZZZZZZZ.jpg,Bantam,25
140280,10819,590416243,8,The Captive,Joyce Hansen,http://images.amazon.com/images/P/0590416243.01.LZZZZZZZ.jpg,Scholastic Paperbacks,20
142144,11601,375507914,10,Invisible Man,Ralph Ellison,http://images.amazon.com/images/P/0375507914.01.LZZZZZZZ.jpg,Random House,28
142172,11601,375703063,10,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,http://images.amazon.com/images/P/0375703063.01.LZZZZZZZ.jpg,Vintage Books,69
145687,11601,525946233,6,The Darwin Awards II: Unnatural Selection,Wendy Northcutt,http://images.amazon.com/images/P/0525946233.01.LZZZZZZZ.jpg,Dutton Books,26
145856,11601,553213806,10,Dubliners,James Joyce,http://images.amazon.com/images/P/0553213806.01.LZZZZZZZ.jpg,Bantam Classics,20
148947,11601,1860462588,7,Silk,Alessandro Baricco,http://images.amazon.com/images/P/1860462588.01.LZZZZZZZ.jpg,Harvill Press,29
149049,11676,2558122,8,Angelas Ashes,Frank Mccourt,http://images.amazon.com/images/P/0002558122.01.LZZZZZZZ.jpg,Harpercollins Australia,22
149376,11676,60085452,7,Boy Meets Girl,Meg Cabot,http://images.amazon.com/images/P/0060085452.01.LZZZZZZZ.jpg,Avon Trade,26
149473,11676,60092653,8,Scandalous Again,Christina Dodd,http://images.amazon.com/images/P/0060092653.01.LZZZZZZZ.jpg,Avon,20
149534,11676,60159081,9,Oscar and Lucinda,Peter Carey,http://images.amazon.com/images/P/0060159081.01.LZZZZZZZ.jpg,HarperCollins Publishers,22
149720,11676,60186526,8,Marrying Mom,Olivia Goldsmith,http://images.amazon.com/images/P/0060186526.01.LZZZZZZZ.jpg,Harpercollins,35
149766,11676,60187476,8,Mistaken Identity,Lisa Scottoline,http://images.amazon.com/images/P/0060187476.01.LZZZZZZZ.jpg,Harpercollins,45
149830,11676,60192119,10,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,http://images.amazon.com/images/P/0060192119.01.LZZZZZZZ.jpg,HarperCollins Publishers,30
149878,11676,60193344,5,Burn Factor,Kyle Mills,http://images.amazon.com/images/P/0060193344.01.LZZZZZZZ.jpg,HarperCollins Publishers,34
149937,11676,60194448,7,The Wailing Wind,Tony Hillerman,http://images.amazon.com/images/P/0060194448.01.LZZZZZZZ.jpg,HarperCollins Publishers,29
149966,11676,006019491X,10,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,http://images.amazon.com/images/P/006019491X.01.LZZZZZZZ.jpg,HarperCollins,26
149994,11676,60198702,8,Murder Boogies with Elvis,Anne George,http://images.amazon.com/images/P/0060198702.01.LZZZZZZZ.jpg,William Morrow &amp; Company,22
150094,11676,60264160,9,By the Shores of Silver Lake (Little House),Laura Ingalls Wilder,http://images.amazon.com/images/P/0060264160.01.LZZZZZZZ.jpg,HarperCollins,24
150164,11676,60391626,10,I Know This Much Is True (Oprah's Book Club),Wally Lamb,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg,Regan Books,59
150348,11676,60512806,9,Cryptonomicon,Neal Stephenson,http://images.amazon.com/images/P/0060512806.01.LZZZZZZZ.jpg,Avon Books,34
150480,11676,60540753,7,Patron Saint of Liars : A Novel,Ann Patchett,http://images.amazon.com/images/P/0060540753.01.LZZZZZZZ.jpg,Perennial,27
150632,11676,60920084,9,The Lost Continent: Travels in Small-Town America,Bill Bryson,http://images.amazon.com/images/P/0060920084.01.LZZZZZZZ.jpg,Perennial,24
151025,11676,61000027,7,Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,http://images.amazon.com/images/P/0061000027.01.LZZZZZZZ.jpg,HarperTorch,29
151069,11676,61000043,9,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,http://images.amazon.com/images/P/0061000043.01.LZZZZZZZ.jpg,HarperTorch,38
151121,11676,61000175,8,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,http://images.amazon.com/images/P/0061000175.01.LZZZZZZZ.jpg,HarperTorch,30
151161,11676,61001058,8,Spring Moon: A Novel of China,Bette Bao Lord,http://images.amazon.com/images/P/0061001058.01.LZZZZZZZ.jpg,HarperTorch,37
151276,11676,61013412,7,Orchid Beach (Holly Barker Novels (Paperback)),Stuart Woods,http://images.amazon.com/images/P/0061013412.01.LZZZZZZZ.jpg,HarperTorch,30
151329,11676,61013439,5,The Run,Stuart Woods,http://images.amazon.com/images/P/0061013439.01.LZZZZZZZ.jpg,HarperTorch,21
151480,11676,61040347,10,A Woman Betrayed,Barbara Delinsky,http://images.amazon.com/images/P/0061040347.01.LZZZZZZZ.jpg,HarperTorch,23
151763,11676,61087017,7,Legend,Sharon Sala,http://images.amazon.com/images/P/0061087017.01.LZZZZZZZ.jpg,HarperTorch,35
151810,11676,61090891,5,Santa Fe Rules,Stuart Woods,http://images.amazon.com/images/P/0061090891.01.LZZZZZZZ.jpg,HarperTorch,20
151871,11676,61092533,8,Stitches in Time,Barbara Michaels,http://images.amazon.com/images/P/0061092533.01.LZZZZZZZ.jpg,HarperCollins Publishers,23
151907,11676,61092886,10,The Fallen Man (Joe Leaphorn Novels),Tony Hillerman,http://images.amazon.com/images/P/0061092886.01.LZZZZZZZ.jpg,HarperTorch,29
151936,11676,61093092,5,Lily White,Susan Isaacs,http://images.amazon.com/images/P/0061093092.01.LZZZZZZZ.jpg,HarperTorch,38
151974,11676,61093106,6,"Red, White and Blue : A Novel",Susan Isaacs,http://images.amazon.com/images/P/0061093106.01.LZZZZZZZ.jpg,HarperTorch,23
152097,11676,61097853,8,The First Eagle (Jim Chee Novels),Tony Hillerman,http://images.amazon.com/images/P/0061097853.01.LZZZZZZZ.jpg,HarperTorch,31
152128,11676,61097861,9,Hunting Badger (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,http://images.amazon.com/images/P/0061097861.01.LZZZZZZZ.jpg,HarperCollins,22
152150,11676,61099341,10,As the Crow Flies,Jeffrey Archer,http://images.amazon.com/images/P/0061099341.01.LZZZZZZZ.jpg,HarperTorch,29
152179,11676,61099368,6,Palindrome,Stuart Woods,http://images.amazon.com/images/P/0061099368.01.LZZZZZZZ.jpg,HarperTorch,23
152202,11676,61099686,9,Downtown,Anne Rivers Siddons,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,HarperTorch,31
152233,11676,61099694,7,Hill Towns,Anne Rivers Siddons,http://images.amazon.com/images/P/0061099694.01.LZZZZZZZ.jpg,HarperTorch,35
152268,11676,61099708,10,Colony,Anne Rivers Siddons,http://images.amazon.com/images/P/0061099708.01.LZZZZZZZ.jpg,HarperTorch,53
152395,11676,64400034,8,Farmer Boy (Little House),Laura Ingalls Wilder,http://images.amazon.com/images/P/0064400034.01.LZZZZZZZ.jpg,HarperTrophy,24
152419,11676,64400042,9,On the Banks of Plum Creek,Laura Ingalls Wilder,http://images.amazon.com/images/P/0064400042.01.LZZZZZZZ.jpg,HarperTrophy,30
152449,11676,64400085,8,These Happy Golden Years (Little House),Laura Ingalls Wilder,http://images.amazon.com/images/P/0064400085.01.LZZZZZZZ.jpg,HarperTrophy,24
152597,11676,64471101,10,The Magician's Nephew (rack) (Narnia),C. S. Lewis,http://images.amazon.com/images/P/0064471101.01.LZZZZZZZ.jpg,HarperCollins,24
152648,11676,66212855,9,"Krakatoa : The Day the World Exploded: August 27, 1883",Simon Winchester,http://images.amazon.com/images/P/0066212855.01.LZZZZZZZ.jpg,HarperCollins,25
152677,11676,66214122,9,Prey: A Novel,Michael Crichton,http://images.amazon.com/images/P/0066214122.01.LZZZZZZZ.jpg,HarperCollins,48
152938,11676,140042210,7,A Portrait of the Artist As a Young Man,James Joyce,http://images.amazon.com/images/P/0140042210.01.LZZZZZZZ.jpg,Penguin USA,30
152990,11676,140052801,9,Dracula,Bram Stoker,http://images.amazon.com/images/P/0140052801.01.LZZZZZZZ.jpg,Penguin USA,27
153155,11676,140113428,7,The Cat Who Came for Christmas,Cleveland Amory,http://images.amazon.com/images/P/0140113428.01.LZZZZZZZ.jpg,Penguin USA,45
153358,11676,140233903,9,Paddy Clarke Ha Ha Ha,Roddy Doyle,http://images.amazon.com/images/P/0140233903.01.LZZZZZZZ.jpg,Penguin Books,29
153387,11676,014023828X,10,The Tortilla Curtain,T. Coraghessan Boyle,http://images.amazon.com/images/P/014023828X.01.LZZZZZZZ.jpg,Penguin Books,23
153737,11676,014038572X,8,The Outsiders (Now in Speak!),S. E. Hinton,http://images.amazon.com/images/P/014038572X.01.LZZZZZZZ.jpg,Puffin Books,29
154084,11676,014131088X,10,Speak,Laurie Halse Anderson,http://images.amazon.com/images/P/014131088X.01.LZZZZZZZ.jpg,Speak,21
154266,11676,142004235,10,East of Eden (Oprah's Book Club),John Steinbeck,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg,Penguin Books,41
155022,11676,312199430,7,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,http://images.amazon.com/images/P/0312199430.01.LZZZZZZZ.jpg,St. Martin's Griffin,20
155700,11676,312955006,9,The Concrete Blonde (A Harry Bosch Novel),Michael Connelly,http://images.amazon.com/images/P/0312955006.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,29
155729,11676,312955731,6,White Shark,Peter Benchley,http://images.amazon.com/images/P/0312955731.01.LZZZZZZZ.jpg,St. Martin's Press,25
155883,11676,312963009,10,Neanderthal: A Novel,John Darnton,http://images.amazon.com/images/P/0312963009.01.LZZZZZZZ.jpg,St. Martin's Press,35
156140,11676,312978332,10,Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Jane Heller,http://images.amazon.com/images/P/0312978332.01.LZZZZZZZ.jpg,St. Martin's Press,24
156215,11676,312981961,6,Close to You,Mary Jane Clark,http://images.amazon.com/images/P/0312981961.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,22
156397,11676,316153915,7,Chasing the Dime,Michael Connelly,http://images.amazon.com/images/P/0316153915.01.LZZZZZZZ.jpg,"Little, Brown",30
156427,11676,316153990,10,Blood Work (Blood Work),Michael Connelly,http://images.amazon.com/images/P/0316153990.01.LZZZZZZZ.jpg,"Little, Brown",24
156500,11676,316154601,8,Lost Light,Michael Connelly,http://images.amazon.com/images/P/0316154601.01.LZZZZZZZ.jpg,"Little, Brown",20
156660,11676,316603287,8,The Lake House,James Patterson,http://images.amazon.com/images/P/0316603287.01.LZZZZZZZ.jpg,"Little, Brown",41
156713,11676,316693251,10,Roses Are Red,James Patterson,http://images.amazon.com/images/P/0316693251.01.LZZZZZZZ.jpg,Little Brown and Company,36
157119,11676,333619358,8,Tiger Eyes,Shirley Conran,http://images.amazon.com/images/P/0333619358.01.LZZZZZZZ.jpg,Pan Macmillan,24
157445,11676,345309219,7,Shoeless Joe,W. P. Kinsella,http://images.amazon.com/images/P/0345309219.01.LZZZZZZZ.jpg,Ballantine Books,24
157474,11676,345311485,7,On the Beach,NEVIL SHUTE,http://images.amazon.com/images/P/0345311485.01.LZZZZZZZ.jpg,Ballantine Books,24
157505,11676,345313151,7,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,http://images.amazon.com/images/P/0345313151.01.LZZZZZZZ.jpg,Del Rey Books,31
157693,11676,345335465,9,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,http://images.amazon.com/images/P/0345335465.01.LZZZZZZZ.jpg,Del Rey Books,30
157758,11676,345339495,6,Nerilka's Story (Dragonriders of Pern (Paperback)),Anne McCaffrey,http://images.amazon.com/images/P/0345339495.01.LZZZZZZZ.jpg,Del Rey Books,25
158165,11676,345389417,7,Servant of the Bones,Anne Rice,http://images.amazon.com/images/P/0345389417.01.LZZZZZZZ.jpg,Ballantine Books,49
158214,11676,345389964,8,A Son of the Circus,John Irving,http://images.amazon.com/images/P/0345389964.01.LZZZZZZZ.jpg,Ballantine Books,33
158409,11676,345409329,8,"Blood and Gold (Rice, Anne, Vampire Chronicles.)",Anne Rice,http://images.amazon.com/images/P/0345409329.01.LZZZZZZZ.jpg,Ballantine Books,27
158675,11676,345430573,8,A Certain Justice (Adam Dalgliesh Mysteries (Paperback)),P. D. James,http://images.amazon.com/images/P/0345430573.01.LZZZZZZZ.jpg,Ballantine Books,23
158766,11676,345435249,9,Darwin's Radio,Greg Bear,http://images.amazon.com/images/P/0345435249.01.LZZZZZZZ.jpg,Ballantine Books,23
158789,11676,345436121,5,Random Hearts,Warren Adler,http://images.amazon.com/images/P/0345436121.01.LZZZZZZZ.jpg,Ballantine Books,24
158948,11676,345447395,6,The President's Daughter,Mariah Stewart,http://images.amazon.com/images/P/0345447395.01.LZZZZZZZ.jpg,Ivy Books,30
159027,11676,345452550,10,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,http://images.amazon.com/images/P/0345452550.01.LZZZZZZZ.jpg,Ballantine Books,21
159122,11676,345454073,6,The Homing,John Saul,http://images.amazon.com/images/P/0345454073.01.LZZZZZZZ.jpg,Ballantine Books,37
159183,11676,345459202,8,Big Stone Gap,Adriana Trigiani,http://images.amazon.com/images/P/0345459202.01.LZZZZZZZ.jpg,Fawcett Books,35
159598,11676,373218036,9,"Truly, Madly Manhattan",Nora Roberts,http://images.amazon.com/images/P/0373218036.01.LZZZZZZZ.jpg,Silhouette,64
159662,11676,373218192,8,Engaging The Enemy,Nora Roberts,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg,Silhouette,51
159713,11676,373218397,8,Summer Pleasures,Nora Roberts,http://images.amazon.com/images/P/0373218397.01.LZZZZZZZ.jpg,Silhouette,56
